x,y
203,167
203,310
201,332
226,346
242,351
257,353
273,356
288,355
302,350
316,343
329,333
340,318
344,302
346,287
343,271
338,259
332,248
322,240
312,231
300,227
276,225
265,227
254,231
254,247
265,242
278,242
288,249
295,259
298,273
299,286
298,316
292,333
277,340
263,341
263,341
250,335
245,324
241,312
240,304
243,209
252,200
260,190
268,178
275,167
282,154
288,140
295,125
301,108
305,89
274,77
247,74
215,75
192,80
167,90
145,101
126,117
111,132
99,145
91,160
91,160
79,182
90,159
99,145
110,130
124,115
143,98
164,86
191,75
214,69
247,67
276,70
310,80
339,96
364,114
379,132
390,147
402,168
409,190
415,209
417,231
416,251
414,275
405,304
394,327
381,344
369,361
348,379
328,392
300,405
277,411
257,414
233,414
210,411
185,405
169,399
151,389
137,381
137,381
116,360
99,340
86,317
76,293
73,281
83,281
100,280
119,277
136,273
152,267
164,262
168,258
168,190
161,180
142,178
142,173
182,170
181,150
168,146
160,134
161,118
170,107
183,104
195,107
204,116
206,128
203,141
190,150
191,169
203,167
